Estado creación,F. operación,Fecha valor,F. liquidación,Contrato,ISIN,Sentido,Cantidad,Precio,Tipo de cambio,Efectivo final,Efectivo final (divisa cartera),Efectivo final + retención (divisa cartera),Cartera,Ticket,Divisa,Mercado de acciones,Producto,Naturaleza,Precio con cupón,Importe final,Intereses,Brokerage,Com. agencia + IVA,Comisión ext. + IVA,Com.agn. (divisa cartera) + IVA,Com.ext. (divisa cartera) + IVA,Retención,Retención (divisa cartera)
Creación,01/12/2021,01/12/2021,01/12/2021,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,160273,1,1,-160273,-160273,-160273,1142.02-BALDOMERO PE PRE-MDF,5-230224x42,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,20/12/2021,20/12/2021,20/12/2021,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-19726,03","-19726,03","-19726,03",1142.02-BALDOMERO PE PRE-MDF,5-230224x43,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/03/2022,28/03/2022,28/03/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-19945,21","-19945,21","-19945,21",1142.02-BALDOMERO PE PRE-MDF,5-230224x44,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,02/06/2022,02/06/2022,02/06/2022,ASABYS 20-ASABYS 20,ASABYS 20,Venta,1985983,0,1,0,0,0,1142.02-BALDOMERO PE PRE-MDF,5-230316x12,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,02/06/2022,02/06/2022,02/06/2022,ASABYS 20-ASABYS 20,ASABYS 20,Compra,1770116,0,1,0,0,0,1142.02-BALDOMERO PE PRE-MDF,5-230317x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,02/06/2022,02/06/2022,02/06/2022,ASABYS 20-ASABYS 20,ASABYS 20,Compra,215867,0,1,0,0,0,1142.02-BALDOMERO PE PRE-MDF,5-230317x02,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,10/06/2022,10/06/2022,10/06/2022,ASABYS 20-ASABYS 20,ASABYS 20,Compra,43174,0,1,0,0,0,1142.02-BALDOMERO PE PRE-MDF,5-230317x03,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,10/06/2022,10/06/2022,10/06/2022,ASABYS 20-ASABYS 20,ASABYS 20,Venta,43174,0,1,0,0,0,1142.02-BALDOMERO PE PRE-MDF,5-230317x04,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,16/06/2022,16/06/2022,16/06/2022,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,300400,1,1,-300400,-300400,-300400,1142.02-BALDOMERO PE PRE-MDF,5-230224x11,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/06/2022,28/06/2022,28/06/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-20164,38","-20164,38","-20164,38",1142.02-BALDOMERO PE PRE-MDF,5-230224x50,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,27/07/2022,27/07/2022,27/07/2022,GREEN TRANS 22-GREEN TRANS 22,GREEN TRANS 22,Compra,75000,5,1,-375000,-375000,-375000,1142.02-BALDOMERO PE PRE-MDF,5-230224x13,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,03/08/2022,03/08/2022,03/08/2022,ASABYS 20-ASABYS 20,ASABYS 20,Venta,0,"167720,52",1,"167720,52","167720,52","167720,52",1142.02-BALDOMERO PE PRE-MDF,5-230224x20,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/09/2022,28/09/2022,28/09/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-20164,38","-20164,38","-20164,38",1142.02-BALDOMERO PE PRE-MDF,5-230224x51,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,01/12/2022,01/12/2022,01/12/2022,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,200000,1,1,-200000,-200000,-200000,1142.02-BALDOMERO PE PRE-MDF,5-230223x02,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,12/12/2022,12/12/2022,12/12/2022,HELIA III 19-HELIA III 19,HELIA III 19,Venta,0,"89772,8",1,"89772,8","89772,8","89772,8",1142.02-BALDOMERO PE PRE-MDF,5-230224x06,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,19/12/2022,19/12/2022,19/12/2022,GREEN TRANS 22-GREEN TRANS 22,GREEN TRANS 22,Compra,0,0,1,-150000,-150000,-150000,1142.02-BALDOMERO PE PRE-MDF,5-230224x14,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/12/2022,28/12/2022,28/12/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-19726,03","-19726,03","-19726,03",1142.02-BALDOMERO PE PRE-MDF,5-230224x47,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,28/12/2022,28/12/2022,28/12/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,14222,1,1,-14222,-14222,-14222,1142.02-BALDOMERO PE PRE-MDF,5-230224x48,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,28/12/2022,28/12/2022,28/12/2022,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,46353,1,1,-46353,-46353,-46353,1142.02-BALDOMERO PE PRE-MDF,5-230224x49,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
